               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031682,            0.010144,           0.0085101,             0.91582,             0.70196,             0.79703,             0.33436,            0.043331,            0.007433,           0.0090889,              0.0937,              0.0007,              0.0007
                   1,            0.039081,           0.0099918,           0.0055819,             0.93305,             0.70954,             0.81089,             0.34127,            0.044759,           0.0074352,           0.0092521,            0.086493,           0.0014926,           0.0014926
                   2,            0.034462,             0.01019,           0.0038959,             0.89337,              0.7464,               0.796,             0.32757,            0.048104,           0.0073788,           0.0089672,            0.079277,           0.0022772,           0.0022772
                   3,            0.041715,            0.010384,           0.0053362,             0.87621,              0.7247,              0.7927,              0.3268,            0.049664,           0.0074964,           0.0092074,            0.072054,            0.003054,            0.003054
                   4,            0.044646,            0.010072,           0.0040668,             0.88798,             0.72195,             0.77708,             0.32066,            0.042386,           0.0074678,           0.0096147,            0.064823,           0.0038228,           0.0038228
                   5,            0.031498,            0.010278,           0.0046458,             0.88175,             0.68426,             0.74043,             0.28802,            0.053021,           0.0075361,            0.010208,            0.057584,           0.0045837,           0.0045837
                   6,            0.035663,            0.010033,           0.0041305,             0.87435,             0.70091,             0.76066,             0.30215,            0.049742,           0.0074825,           0.0094472,            0.050337,           0.0053367,           0.0053367
                   7,            0.061442,            0.010147,           0.0079332,             0.87065,             0.63819,             0.72448,             0.27984,            0.048932,           0.0078574,            0.010634,            0.043082,           0.0060817,           0.0060817
                   8,            0.040168,            0.010327,           0.0060827,             0.84278,             0.67413,             0.73434,             0.27906,            0.048169,           0.0080141,            0.011154,            0.035819,           0.0068188,           0.0068188
                   9,            0.030965,            0.010401,           0.0040683,             0.86293,             0.69466,             0.75213,             0.27925,            0.049494,           0.0079139,            0.010334,            0.028548,           0.0075481,           0.0075481
                  10,            0.038888,            0.010046,           0.0046211,             0.82428,             0.64716,              0.6994,             0.26411,            0.048673,            0.007727,            0.011325,            0.021269,           0.0082693,           0.0082693
                  11,             0.05482,            0.011128,           0.0067047,             0.75039,             0.63206,             0.65196,             0.23841,            0.047311,           0.0087267,            0.010554,            0.013983,           0.0089827,           0.0089827
                  12,            0.047493,             0.01259,             0.01435,             0.62463,             0.48862,             0.51289,             0.18231,            0.053979,             0.01273,            0.015988,            0.009406,            0.009406,            0.009406
                  13,            0.057043,            0.013594,            0.016312,             0.59596,             0.34835,             0.37325,             0.10938,            0.065332,            0.020782,            0.024568,            0.009406,            0.009406,            0.009406
                  14,            0.058133,            0.015068,            0.016585,             0.23664,            0.055841,            0.020222,           0.0039455,             0.10469,             0.12591,             0.58518,           0.0093565,           0.0093565,           0.0093565
                  15,            0.059126,            0.014828,            0.017384,             0.30911,             0.19895,             0.18051,            0.052299,            0.081567,            0.030671,            0.040442,            0.009307,            0.009307,            0.009307
                  16,            0.056261,            0.014539,            0.015193,             0.20412,             0.14937,            0.095675,            0.024243,            0.080538,            0.020717,            0.028828,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057362,            0.014085,            0.012549,             0.41029,             0.42384,             0.33045,            0.094779,            0.067941,            0.016806,            0.024029,            0.009208,            0.009208,            0.009208
                  18,            0.050281,            0.014025,            0.014675,             0.39701,             0.37555,             0.30345,            0.083935,            0.066779,            0.021323,            0.028918,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043569,            0.014122,            0.013248,             0.49961,             0.43668,              0.4098,             0.12796,            0.060231,            0.013647,             0.01767,            0.009109,            0.009109,            0.009109
                  20,            0.055931,            0.013698,             0.01181,             0.38607,             0.39772,             0.31074,            0.086562,            0.062961,            0.021466,            0.020392,           0.0090595,           0.0090595,           0.0090595
                  21,            0.053823,            0.013415,            0.011235,             0.29309,             0.32328,             0.24087,            0.065854,            0.071644,            0.017816,            0.022897,             0.00901,             0.00901,             0.00901
                  22,            0.042795,            0.013255,           0.0090841,             0.66993,             0.50929,             0.52601,             0.17418,              0.0572,            0.010905,            0.016472,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052532,            0.012836,            0.010643,              0.7301,             0.53019,             0.58931,             0.20512,            0.058642,            0.010028,            0.015456,            0.008911,            0.008911,            0.008911
                  24,            0.051086,            0.013326,            0.013004,             0.74662,             0.49994,             0.56558,             0.18576,            0.059274,            0.013085,            0.015042,           0.0088615,           0.0088615,           0.0088615
                  25,            0.054084,            0.012895,            0.010097,             0.77072,             0.56012,             0.60614,             0.21778,            0.055648,            0.010285,            0.012192,            0.008812,            0.008812,            0.008812
                  26,            0.046448,            0.012631,           0.0088606,             0.72852,              0.5442,             0.58766,             0.21819,            0.060326,            0.010809,            0.020333,           0.0087625,           0.0087625,           0.0087625
                  27,            0.043641,            0.013049,           0.0081427,             0.85248,              0.5114,             0.61583,             0.22321,            0.052393,           0.0098473,            0.012515,            0.008713,            0.008713,            0.008713
                  28,            0.059362,            0.013906,             0.01725,              0.5156,             0.33246,             0.31041,            0.097515,            0.066561,            0.012349,            0.022147,           0.0086635,           0.0086635,           0.0086635
                  29,            0.044907,            0.014698,             0.01228,             0.37248,             0.31034,             0.26972,            0.072151,            0.066935,            0.017394,             0.02159,            0.008614,            0.008614,            0.008614
                  30,             0.05068,            0.012915,            0.012174,             0.60078,             0.38455,              0.4172,             0.13297,            0.064631,            0.012596,            0.027588,           0.0085645,           0.0085645,           0.0085645
                  31,            0.043658,            0.014049,            0.011359,             0.51944,             0.41269,             0.39722,             0.10509,            0.058081,            0.011644,            0.017797,            0.008515,            0.008515,            0.008515
                  32,            0.055698,            0.013556,            0.011271,             0.55003,             0.44075,             0.44488,             0.13927,            0.052732,            0.012179,            0.015246,           0.0084655,           0.0084655,           0.0084655
                  33,            0.049665,            0.013055,            0.011987,              0.4728,             0.40309,             0.37255,              0.1231,            0.060746,            0.012934,            0.017268,            0.008416,            0.008416,            0.008416
                  34,            0.043376,            0.012718,           0.0078018,             0.75801,             0.50135,             0.56644,             0.19533,            0.056588,             0.01032,            0.014551,           0.0083665,           0.0083665,           0.0083665
                  35,            0.052741,            0.012888,            0.012046,             0.39905,             0.21754,             0.21119,            0.075018,            0.073462,            0.014885,            0.026681,            0.008317,            0.008317,            0.008317
                  36,            0.058819,            0.015758,            0.017648,             0.28401,             0.20871,             0.15985,            0.050518,            0.091699,            0.020978,            0.033257,           0.0082675,           0.0082675,           0.0082675
                  37,             0.06505,            0.016915,            0.024884,             0.33918,             0.14101,            0.071783,            0.019847,            0.089429,            0.038385,             0.04701,            0.008218,            0.008218,            0.008218
                  38,            0.073723,            0.016482,            0.021593,             0.45435,            0.045678,            0.026515,           0.0058124,            0.088116,            0.016667,             0.32444,           0.0081685,           0.0081685,           0.0081685
                  39,            0.060942,            0.015802,            0.017551,             0.04958,            0.056636,            0.022115,           0.0048586,            0.094466,            0.016352,            0.093064,            0.008119,            0.008119,            0.008119
                  40,            0.060746,            0.014978,            0.016544,             0.22454,                 0.2,             0.10487,            0.027552,            0.074939,            0.012726,            0.024333,           0.0080695,           0.0080695,           0.0080695
                  41,             0.05063,            0.014891,            0.014883,             0.53685,             0.38801,             0.34393,             0.11163,            0.065858,            0.011281,            0.018326,             0.00802,             0.00802,             0.00802
                  42,            0.054379,            0.014185,            0.017499,             0.44616,             0.40619,             0.33093,             0.10298,            0.065267,             0.01236,              0.0176,           0.0079705,           0.0079705,           0.0079705
                  43,            0.063392,            0.014923,            0.021064,             0.38733,             0.23063,              0.1888,            0.055875,            0.084251,            0.012243,             0.14032,            0.007921,            0.007921,            0.007921
                  44,            0.048403,            0.014775,            0.013004,             0.29295,            0.051122,              0.0441,            0.011275,             0.10549,            0.013408,              1.1227,           0.0078715,           0.0078715,           0.0078715
                  45,            0.063399,             0.01437,            0.017476,             0.32467,             0.21963,             0.16711,            0.048224,            0.082769,            0.011745,            0.027497,            0.007822,            0.007822,            0.007822
                  46,            0.060849,            0.014729,            0.016764,             0.47606,              0.3767,             0.34805,             0.11328,              0.0616,            0.011401,            0.022783,           0.0077725,           0.0077725,           0.0077725
                  47,            0.053624,            0.014447,            0.017416,              0.5162,             0.42741,             0.40992,             0.14121,            0.060772,            0.010562,            0.023436,            0.007723,            0.007723,            0.007723
                  48,            0.049694,            0.014324,            0.013875,             0.57707,             0.47035,             0.47813,              0.1688,             0.05983,            0.010998,            0.019479,           0.0076735,           0.0076735,           0.0076735
                  49,            0.050556,            0.013183,            0.013144,             0.67696,             0.48211,             0.52641,             0.18731,            0.057696,            0.010667,            0.017486,            0.007624,            0.007624,            0.007624
                  50,            0.055333,            0.013486,            0.012513,             0.61849,             0.43437,             0.45907,             0.14774,            0.057375,            0.010211,            0.017358,           0.0075745,           0.0075745,           0.0075745
                  51,            0.049303,            0.012377,            0.010293,             0.61541,             0.51374,             0.51684,             0.19323,             0.06331,            0.011027,            0.017214,            0.007525,            0.007525,            0.007525
                  52,            0.052031,            0.013443,           0.0096808,             0.69848,              0.4805,             0.52006,             0.19294,            0.061414,             0.01131,            0.017708,           0.0074755,           0.0074755,           0.0074755
                  53,            0.053542,            0.013074,            0.012892,             0.66485,             0.47918,             0.49923,              0.1705,            0.058862,            0.011032,            0.016622,            0.007426,            0.007426,            0.007426
                  54,             0.04843,            0.013567,            0.010341,             0.73743,             0.52187,             0.54781,             0.19251,               0.057,           0.0099035,            0.016843,           0.0073765,           0.0073765,           0.0073765
                  55,            0.041521,            0.012609,           0.0089382,             0.70932,             0.49623,             0.54497,             0.18281,            0.054926,            0.010251,            0.016103,            0.007327,            0.007327,            0.007327
                  56,            0.039184,            0.012676,           0.0085592,             0.80669,             0.53213,             0.60469,             0.23999,            0.054548,            0.010631,            0.017326,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045842,            0.012905,           0.0090387,             0.78989,             0.55542,             0.61295,             0.23046,            0.052867,           0.0096819,            0.015121,            0.007228,            0.007228,            0.007228
                  58,            0.048664,            0.012771,            0.010471,             0.73563,             0.57756,             0.60959,             0.23531,            0.051868,            0.010057,            0.016345,           0.0071785,           0.0071785,           0.0071785
                  59,            0.047711,            0.013075,            0.010352,             0.65197,             0.56737,             0.59319,             0.22621,            0.051541,            0.010225,            0.014239,            0.007129,            0.007129,            0.007129
                  60,            0.052956,            0.012941,            0.012287,             0.76638,             0.49694,             0.58956,             0.22176,            0.052994,            0.010213,             0.01416,           0.0070795,           0.0070795,           0.0070795
                  61,            0.050196,            0.012912,           0.0090415,              0.7504,             0.52881,             0.57708,               0.209,            0.051484,            0.009598,            0.014792,             0.00703,             0.00703,             0.00703
                  62,            0.043947,             0.01231,           0.0089353,             0.69923,             0.55898,             0.59415,             0.21604,            0.052646,            0.010122,            0.014808,           0.0069805,           0.0069805,           0.0069805
                  63,             0.04663,            0.012347,             0.01142,             0.79474,             0.55957,             0.64204,             0.25402,            0.055215,            0.010383,            0.015502,            0.006931,            0.006931,            0.006931
                  64,            0.052174,            0.012234,           0.0097924,              0.7452,             0.61675,               0.656,             0.24564,            0.051454,           0.0094461,            0.014636,           0.0068815,           0.0068815,           0.0068815
                  65,            0.044859,            0.011629,           0.0091567,             0.86273,              0.5573,              0.6723,             0.26769,            0.049409,           0.0091861,            0.014902,            0.006832,            0.006832,            0.006832
                  66,            0.041174,            0.011961,           0.0080765,             0.72963,             0.60293,             0.66505,             0.26237,            0.048756,           0.0090153,            0.014018,           0.0067825,           0.0067825,           0.0067825
                  67,            0.041262,            0.012283,            0.010251,             0.74792,             0.62446,             0.66984,             0.26455,            0.049948,           0.0097469,            0.013068,            0.006733,            0.006733,            0.006733
                  68,            0.040999,            0.012027,           0.0077914,             0.71032,             0.60691,             0.66346,             0.24606,            0.053159,           0.0096044,            0.014559,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034207,            0.011966,           0.0064454,             0.69063,              0.6007,             0.64341,             0.24905,            0.054207,           0.0096392,            0.014318,            0.006634,            0.006634,            0.006634
                  70,            0.046214,             0.01212,           0.0089862,             0.75091,             0.60973,             0.67364,             0.26808,            0.050522,           0.0094777,            0.013499,           0.0065845,           0.0065845,           0.0065845
                  71,            0.042827,            0.011859,           0.0080809,             0.88847,             0.58876,             0.69894,             0.28009,            0.052169,           0.0095104,            0.012835,            0.006535,            0.006535,            0.006535
                  72,            0.043974,            0.011129,           0.0063941,             0.86429,              0.6123,              0.6959,             0.27738,            0.051967,           0.0090768,            0.012298,           0.0064855,           0.0064855,           0.0064855
                  73,            0.050023,            0.011133,           0.0092444,             0.87279,             0.58814,             0.68632,             0.25787,            0.052378,            0.008752,            0.012401,            0.006436,            0.006436,            0.006436
                  74,            0.044147,            0.011909,           0.0085158,             0.73452,             0.63921,             0.66593,              0.2617,            0.052013,           0.0092418,            0.012853,           0.0063865,           0.0063865,           0.0063865
                  75,            0.040341,            0.011825,           0.0060303,             0.76547,             0.65989,             0.71925,             0.28295,             0.05251,           0.0088226,            0.013257,            0.006337,            0.006337,            0.006337
                  76,            0.041886,             0.01142,           0.0085014,             0.81115,             0.62979,             0.71958,             0.28261,            0.051529,           0.0086067,            0.014102,           0.0062875,           0.0062875,           0.0062875
                  77,            0.035708,            0.011422,           0.0059328,             0.80637,             0.62682,             0.72597,             0.29142,            0.049385,           0.0091015,            0.013348,            0.006238,            0.006238,            0.006238
                  78,            0.039835,            0.011471,           0.0063493,             0.79384,             0.60969,             0.69772,             0.28848,            0.049049,           0.0086811,            0.014169,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038831,            0.011825,           0.0080592,             0.78548,             0.66035,             0.72065,             0.29099,            0.048848,           0.0084771,            0.013254,            0.006139,            0.006139,            0.006139
                  80,            0.039255,            0.011638,           0.0073255,             0.87426,             0.62237,             0.71045,             0.28696,            0.050928,           0.0084916,            0.012307,           0.0060895,           0.0060895,           0.0060895
                  81,            0.041283,            0.011585,           0.0082502,             0.89059,             0.64224,             0.73319,             0.28476,            0.049492,           0.0084047,            0.012169,             0.00604,             0.00604,             0.00604
                  82,            0.037566,            0.011247,           0.0061633,             0.87752,              0.6715,             0.74961,             0.29254,            0.050087,           0.0085231,            0.012259,           0.0059905,           0.0059905,           0.0059905
                  83,            0.035712,            0.011235,           0.0073728,             0.88762,             0.68449,             0.76994,             0.30035,            0.050878,           0.0083718,            0.012516,            0.005941,            0.005941,            0.005941
                  84,            0.047539,            0.011198,           0.0080511,             0.84184,             0.63326,             0.73681,             0.28758,            0.050264,           0.0084121,            0.013135,           0.0058915,           0.0058915,           0.0058915
                  85,             0.03807,            0.011261,           0.0064329,             0.82776,             0.63696,             0.72662,              0.2863,            0.049838,           0.0087539,            0.013502,            0.005842,            0.005842,            0.005842
                  86,            0.033252,            0.011346,           0.0057324,             0.86982,             0.65835,             0.76722,             0.30134,            0.050272,           0.0086061,            0.013417,           0.0057925,           0.0057925,           0.0057925
                  87,            0.037105,            0.011147,           0.0077212,             0.74878,             0.58131,             0.65177,             0.26894,            0.055099,            0.011243,            0.015744,            0.005743,            0.005743,            0.005743
                  88,            0.047247,            0.011766,           0.0077705,             0.78955,             0.64155,             0.71259,             0.28751,            0.050818,           0.0085691,            0.013699,           0.0056935,           0.0056935,           0.0056935
                  89,            0.040865,            0.011585,           0.0060538,              0.7856,             0.65835,             0.71199,             0.28426,            0.047425,           0.0086031,            0.011952,            0.005644,            0.005644,            0.005644
                  90,            0.038666,            0.011394,           0.0062764,              0.7596,             0.62949,             0.67733,             0.25519,            0.049851,           0.0090574,            0.011622,           0.0055945,           0.0055945,           0.0055945
                  91,            0.045009,            0.011543,           0.0080072,             0.79284,             0.68021,             0.72432,             0.29625,            0.047861,           0.0087207,            0.012021,            0.005545,            0.005545,            0.005545
                  92,            0.033195,            0.011918,           0.0059612,             0.78305,             0.67249,             0.73274,             0.27935,            0.049578,           0.0092952,             0.01226,           0.0054955,           0.0054955,           0.0054955
                  93,            0.041522,            0.011367,           0.0077198,               0.711,             0.60622,             0.65555,             0.23394,            0.049918,            0.009499,            0.012738,            0.005446,            0.005446,            0.005446
                  94,            0.045436,            0.011561,            0.007553,             0.82111,             0.63311,             0.71195,             0.27779,            0.048446,            0.008721,            0.012928,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032149,            0.011144,           0.0053208,             0.82371,             0.61211,             0.70232,             0.25574,            0.051611,           0.0084626,             0.01357,            0.005347,            0.005347,            0.005347
                  96,            0.039512,            0.010973,           0.0078099,             0.81492,             0.60459,             0.68944,             0.25706,             0.05124,           0.0085277,            0.012766,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04265,            0.011363,            0.008298,             0.88397,             0.68796,             0.77115,             0.30702,            0.048385,            0.008225,            0.012979,            0.005248,            0.005248,            0.005248
                  98,            0.038447,            0.012024,           0.0071604,             0.88603,             0.68682,             0.77749,             0.31731,            0.047819,           0.0080361,             0.01341,           0.0051985,           0.0051985,           0.0051985
                  99,            0.047154,            0.010987,           0.0077481,             0.84709,             0.67315,             0.74799,             0.29158,            0.049643,           0.0081501,            0.013634,            0.005149,            0.005149,            0.005149
                 100,            0.030696,            0.011031,           0.0051012,              0.8694,             0.67489,             0.75512,             0.29555,            0.049933,            0.008071,            0.013193,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038328,            0.010899,           0.0051948,             0.86778,             0.66996,             0.76867,             0.31706,            0.049492,           0.0084591,            0.014593,             0.00505,             0.00505,             0.00505
